date,hhi_C_stable,max_weight_C_stable,n_eff_C_stable,hhi_A,max_weight_A,turnover_C_stable
2020-01-31,0.06935045164942051,0.0999999999999999,14.419516761840093,0.11799028140304765,0.2124193561012186,1.528076850462054
2020-02-28,0.08573030859498593,0.0999999999999999,11.664486182177193,0.1754034805958655,0.2631018847681141,0.6303342453684831
2020-03-31,0.09016215426640208,0.0999999999999997,11.091128069603355,0.45138928181692156,0.6393226347816429,1.3636113746892735
2020-04-30,0.09069804086923994,0.0999999999999998,11.025596478337473,0.438900429376212,0.6295923036452341,0.0182064658638832
2020-05-29,0.09111718344737291,0.0999999999999998,10.974878306873652,0.3777704183888661,0.5669221428595708,0.0179293609106028
2020-06-30,0.09506396782154593,0.0999999999999998,10.51923271156954,0.7528640268801312,0.8604528406818615,0.1294607558092571
2020-07-31,0.09331967234098196,0.0999999999999997,10.715854170019876,0.5223846623388919,0.6802005250451284,0.045865493514885
2020-08-31,0.09216939096100654,0.0999999999999999,10.849588888170727,0.3499098703782307,0.5370801106900359,0.0646324718237117
2020-09-30,0.0934583930938926,0.100000000000004,10.69994857492739,0.3485357878098403,0.5398758538655498,0.1222433356220481
2020-10-30,0.09347842427327271,0.0999999999999999,10.697655718678169,0.01,0.01,0.0033228286100543
2020-11-30,0.09457404347889051,0.1,10.573725762536588,0.01,0.01,0.0327044099858196
2020-12-31,0.09381335809022781,0.0999999999999998,10.659462792475885,0.01,0.01,0.02704705013391
2021-01-29,0.09330912425026291,0.1,10.717065539249043,0.3461608536792852,0.5459580676068746,0.0270686913622959
2021-02-26,0.09337411960898198,0.0999999999999999,10.709605661479314,0.3591397150907432,0.5484778168931341,0.0113730813069123
2021-03-31,0.09071665069172527,0.0999999999999999,11.023334662103162,0.01,0.01,0.6853586710842695
2021-04-30,0.08841730424162701,0.0999999999999999,11.31000326889856,0.145422456521667,0.2462005556559588,0.1516435062017197
2021-05-28,0.08249846729334029,0.0999999999999999,12.121437316456973,0.2032087193318261,0.3098000792975059,0.2251745254278043
2021-06-30,0.07544416435757462,0.0999999999999999,13.254835659129409,0.18803066650765157,0.3094510507549684,0.6722601859701922
2021-07-30,0.07460629836872086,0.0999999999999999,13.403694083008627,0.19286673819341588,0.3128977349967682,0.1426286901687122
2021-08-31,0.06940159717034033,0.0999999999999999,14.40889029607755,0.01,0.01,0.1110518294514928
2021-09-30,0.06332616635032547,0.0999220166069755,15.791260668898213,0.01,0.01,0.6671032906188764
2021-10-29,0.0621116207586838,0.0999999999999999,16.100046783277513,0.01,0.01,0.4850792198694283
2021-11-30,0.06106942895353546,0.0998339342478539,16.374805154324395,0.05765393826085201,0.134741781688756,0.2208654143390602
2021-12-31,0.06186967746968795,0.0999999999999999,16.163006514619926,0.10435529707623659,0.2328254746477592,0.5381262791560797
2022-01-31,0.05673306292851575,0.0999999999999999,17.626405985871244,0.08717267207424446,0.1822819636146607,0.4776149270947092
2022-02-28,0.054326062396203224,0.1000000000000056,18.407371266979375,0.01,0.01,0.4057856979653233
2022-03-31,0.05427926425986524,0.0999999999999999,18.423241612348317,0.07939593704872935,0.1893327686870466,0.3789227641164459
2022-04-29,0.05586083396727576,0.0999999999999999,17.901630337023203,0.08616302470202694,0.1845994570388389,0.5442827579953887
2022-05-31,0.07516633445973767,0.0999999999999024,13.303828198987715,0.11711732311572193,0.2466628610530059,0.8230697156258697
2022-06-30,0.07896313967130456,0.0999999999999999,12.664136762578641,0.01,0.01,0.8086333859552925
2022-07-29,0.07758681644223323,0.0999999999999999,12.888787629848734,0.12063642107579939,0.2689830465400526,0.2989209115312307
2022-08-31,0.07696749998143643,0.1000000000001018,12.99249683621252,0.12407823159770062,0.2582865288246342,0.1731957632521268
2022-09-30,0.07152207410397646,0.0999999999999999,13.981697434364566,0.01,0.01,0.1612073608694751
2022-10-31,0.07277731677485261,0.0999999999999999,13.740545053256744,0.14582833327233294,0.224257882970869,0.0937532057167738
2022-11-30,0.07274923159077831,0.1000000000000021,13.745849655500141,0.14848224092280074,0.2552154479555656,0.0043854610054122
2022-12-30,0.07712721618331905,0.0999999999999999,12.965591777916112,0.12421479475905751,0.2196748877895726,0.3120952900128838
2023-01-31,0.07702444542592332,0.0999999999999999,12.98289126874311,0.01,0.01,0.1585006681524667
2023-02-28,0.07726285650737452,0.0999999999997936,12.942829778815552,0.01,0.01,0.0618520974184545
2023-03-31,0.07751090502319735,0.0999999999999999,12.901410449287381,0.10578700222237804,0.2017259200154278,0.0723793220495277
2023-04-28,0.07533295520443405,0.0999999999999999,13.27440291285879,0.01,0.01,0.1050416538357105
2023-05-31,0.06906874532133446,0.0999999999999999,14.478328733895687,0.13592942304919572,0.2959891771004518,0.5928778655742479
2023-06-30,0.06763101485268172,0.0999999999999999,14.786115544447545,0.01,0.01,0.2235547492105026
2023-07-31,0.06846351599906174,0.0999999999999999,14.606319663946335,0.10102215708984745,0.2271602494166759,0.057961731927327
2023-08-31,0.06990394581050959,0.0999999999999999,14.305344117637159,0.1087366550225497,0.1930210642073899,0.324461123076779
2023-09-29,0.06993209388010707,0.0999999999999999,14.299586134435204,0.01,0.01,0.3823775837684287
2023-10-31,0.06436117392785906,0.0999999999999999,15.537317593381324,0.01,0.01,0.5760092820693948
2023-11-30,0.056048533786352314,0.1,17.841679923543293,0.01,0.01,0.2748960245571043
2023-12-29,0.055539320608214184,0.1,18.00526166054868,0.01,0.01,0.5306688891925416
2024-01-31,0.05427492180800857,0.1,18.42471562718022,0.01,0.01,0.2711650936148571
2024-02-29,0.04698345849404047,0.0999999999999999,21.28408661373541,0.01,0.01,0.3984294573123826
2024-03-28,0.04582713096909523,0.0999999999999999,21.82113474819921,0.01,0.01,0.4780522796036323
2024-04-30,0.046826834007969456,0.0934863447040022,21.355276759257524,0.04265923903478093,0.0819756913438286,0.4187610719358697
2024-05-31,0.05262811327667398,0.0994272245808165,19.0012511895087,0.05200251136438381,0.1128136781038739,0.4072896813597307
2024-06-28,0.0511376953801027,0.0955122428089797,19.55504628370665,0.01,0.01,0.2865946148374774
2024-07-31,0.053469732151604984,0.0959037723648543,18.70216961559968,0.04599200013460854,0.1072036058805125,0.1659755072591342
2024-08-30,0.0559980778249623,0.0933537567760454,17.857755816651075,0.01,0.01,0.197790225775274
2024-09-30,0.05765758896382101,0.0865423018734779,17.343770663519766,0.01,0.01,0.2958637823378799
2024-10-31,0.05382475102608107,0.0999816816860498,18.578813295679616,0.05974366321032933,0.1575916692795345,0.4549932137451016
2024-11-29,0.056466101383284256,0.0998046236217791,17.709740454934817,0.01,0.01,0.0887340475884375
2024-12-31,0.05893395347341601,0.0999999999999999,16.968147240471165,0.01,0.01,0.5138098636323932
