annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,model,dataset,crisis_2020,crisis_2022
0.0267783906510108,0.1160094397281337,0.2308294110700438,0.3024000789930774,0.2000247894678265,0.0109061606032798,0.016707410286967,0.0069888431683204,0.0,0.1338753597604364,A_no_kappa,etf10,0.0418593416069165,0.1099229249963671
0.0425671336881037,0.114064415569458,0.3731850417642566,0.4940938790291362,0.186362024458778,0.0112444976919879,0.0164608703658729,0.0085618435457904,0.0,0.2284109856164353,B_fixed_kappa,etf10,0.0302267294346014,0.0944987621380626
0.0384919682955582,0.1124591169843369,0.3422752136753778,0.4552143748670857,0.1745271887755558,0.0111108529585931,0.0162521122888998,0.0079691281432305,0.0,0.2205499817284021,C_manual_kappa,etf10,0.0179330476083238,0.0899377944987129
0.0319313635278828,0.1164616857491595,0.2741791287192772,0.3549364227083792,0.2041808229901903,0.0109466296872267,0.0168730766997999,0.0079448184834171,0.0,0.1563876717717851,C_learned_kappa,etf10,0.0527264712335957,0.104163193549695
0.0456055524457026,0.1141908696372067,0.3993800256587501,0.5267734305369787,0.1846076717890009,0.0112608691637736,0.0164812891102274,0.0087201620506973,0.0,0.2470403965542013,D_state_action,etf10,0.0267148060032182,0.0960029505430316
0.0632126316430377,0.2286040494328765,0.2765158001350207,0.4766848111557769,0.3139014597159941,0.0099265960505986,0.0217418799885034,0.0086084781009792,0.0,0.2013773102559957,A_no_kappa,etf20,0.0124665496684844,0.1463454178105585
0.0701123927152254,0.2289596334574015,0.3062216324183187,0.5283947242988274,0.3139014597159941,0.0101837239561184,0.0219497744016015,0.0093852513413209,0.0,0.2233579696592057,B_fixed_kappa,etf20,0.0124665496684844,0.1389182070612619
0.0609177966469371,0.2289994526799429,0.2660172150370939,0.4593500584394566,0.3139014597159941,0.010141575109317,0.0219590381646776,0.0105053381091432,0.0,0.1940666242904803,C_manual_kappa,etf20,0.0124665496684844,0.1442887377474356
0.0633013476159283,0.2286989910024241,0.2767889238971647,0.47638747746141,0.3139014597159941,0.0100968662336322,0.021871624517745,0.0066122110359381,0.0,0.2016599338951813,C_learned_kappa,etf20,0.0124665496684844,0.1400443034466406
0.0683587359593882,0.2293620622398518,0.298038547839281,0.5174611932365111,0.3139014597159941,0.0102187547295509,0.0219242771149079,0.0080598188845186,0.0,0.2177713223163618,D_state_action,etf20,0.0124665496684844,0.1388395366314677
-0.005417006201125729,0.18322050864180156,-0.029565501380175982,-0.036500868775826784,0.2475813334899868,0.015771314196783646,0.027762201521427114,0.019236179122992907,0.0,-0.02187970363018024,A_no_kappa,sp30,0.08691025797490048,0.1079914053245159
0.09614315519742234,0.3133654532673056,0.30680840595217346,0.6798374160359084,0.2230076465203925,0.015438920712023598,0.026011564720514743,0.02205047350964404,0.0,0.43112044226981566,B_fixed_kappa,sp30,0.06877972461153237,0.07698990739981215
0.014325169974246599,0.16977031894883254,0.08437970820190362,0.10989860774991811,0.221944050388583,0.015397691897984508,0.025031513586067533,0.018944345992537817,0.0,0.06454405941121591,C_manual_kappa,sp30,0.0700655022134733,0.05879495136222579
-0.010554489641118603,0.17796856952224654,-0.05930535751032861,-0.07152963379573077,0.26423948594601343,0.01542120015050928,0.027058522093564106,0.02464243903548858,0.0,-0.03994289348290279,C_learned_kappa,sp30,0.10911444166239337,0.06312060450109036
0.014278736759040234,0.17407914061542143,0.08202439826254117,0.10039033139913581,0.22547573947642185,0.015830506612688536,0.02611125365722345,0.024025849431566715,0.0,0.0633271534764536,D_state_action,sp30,0.07244236919553837,0.04769271508316175
